id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Electric Daydream,Neon Echo,synthwave,happy,0.80,115,0.78,0.75,0.12
12,Mountain Echo,Terra Drift,ambient,relaxed,0.22,55,0.70,0.38,0.95
13,Bassline Theory,Groove Unit,electronic,intense,0.88,140,0.55,0.91,0.04
14,Velvet Underground,Slow Stereo,jazz,moody,0.45,85,0.52,0.50,0.82
15,Chasing Daylight,Indigo Parade,indie pop,happy,0.71,120,0.83,0.77,0.40
16,Iron Riff,Voltline,rock,intense,0.95,160,0.40,0.62,0.06
17,Rainy Window,Paper Lanterns,lofi,chill,0.30,70,0.62,0.55,0.90
18,Pop Confetti,Max Pulse,pop,happy,0.85,128,0.90,0.86,0.08
19,Deep Focus,LoRoom,lofi,focused,0.38,75,0.57,0.58,0.80
20,Late Night Jazz,Slow Stereo,jazz,relaxed,0.33,88,0.68,0.48,0.91
